std_id, name, advanced_programming, data_structure, mathematics2, physic2
10001, Ali Ahmadi, 15.5, 16.0, 14.5, 18.0
10002, Sara Rezaei, 19.0, 18.5, 20.0, 17.5
10003, Mohammad Karimi, 12.0, 14.5, 11.0, 13.5
10004, Fatemeh Hashemi, 17.5, 16.5, 18.0, 19.0
10005, Reza Hosseini, 14.0, 15.0, 13.5, 16.0
10006, Zahra Mohammadi, 20.0, 19.5, 19.0, 20.0
10007, Mehdi Nouri, 16.5, 17.0, 15.5, 14.0
10008, Maryam Rostami, 18.0, 17.5, 18.5, 19.5
10009, Amir Alavi, 13.5, 12.0, 14.0, 15.0
10010, Neda Moradi, 19.5, 20.0, 18.5, 19.0
10011, Hossein Jafari, 15.0, 16.5, 17.0, 14.5
10012, Mina Salehi, 17.0, 18.0, 16.5, 17.5
10013, Sina Abbasi, 11.5, 10.0, 12.5, 14.0
10014, Leila Ebrahimi, 18.5, 19.0, 19.5, 18.0
10015, Hassan Ghasemi, 16.0, 15.5, 14.5, 16.5
10016, Shiva Taheri, 19.0, 18.5, 17.5, 19.5
10017, Omid Rahimi, 14.5, 13.0, 15.0, 12.5
10018, Parisa Kazemi, 17.5, 16.0, 18.0, 17.0
10019, Farhad Sadeghi, 15.5, 14.5, 16.0, 15.0
10020, Narges Shirin, 20.0, 19.5, 20.0, 19.0
10021, Navid Ansari, 12.5, 14.0, 11.5, 13.0
10022, Elnaz Safari, 18.0, 17.0, 19.0, 18.5
10023, Kian Zare, 16.5, 15.0, 17.5, 16.0
10024, Mahsa Naderi, 19.5, 18.0, 19.5, 20.0
10025, Ali Javan, 13.0, 11.5, 12.0, 14.5
10026, Tara Fathi, 17.0, 16.5, 18.0, 17.5
10027, Milad Kamal, 15.0, 16.0, 14.5, 15.5
10028, Roya Sabet, 18.5, 19.0, 17.5, 18.0
10029, Saman Vahidi, 14.0, 15.5, 13.5, 14.5
10030, Yeganeh Rad, 19.0, 20.0, 18.5, 19.5
